x,y,rssi1,rssi2,rssi3,rssi4
0,0,-37.25,-63.15,-72.6,-66.65
0,0,-36.2,-63.05,-70.05,-65.95
0,0,-36.8,-63.55,-69.65,-66.35
0,0,-34.1,-63.5,-70.6,-65.95
0,0,-36,-62.95,-69.3,-66.4
0,0,-37,-63.1,-69.35,-65.25
0,0,-36.95,-64.1,-70.45,-66.25
0,0,-37.15,-63.7,-70.4,-66.55
0,0,-36.25,-68.05,-70.55,-67.9
0,0,-36.45,-67.5,-74.3,-65.15
0,0,-36.65,-70.35,-71.95,-65.25
0,0,-36.3,-71.45,-70.75,-65.95
0,0,-37.2,-71,-73.65,-66.25
0,0,-37.25,-71.15,-72.05,-65.9
0,0,-29.05,-70.6,-72.2,-73.55
0,0,-28.25,-69.9,-71.25,-70.9
0,0,-28.5,-70.75,-72.45,-73.7
0,0,-29.2,-70.95,-71.95,-71.75
0,0,-25.8,-69.35,-70.05,-70.4
0,0,-29,-71.3,-72.05,-76.25
0,0,-27.9,-71.05,-71.15,-73.85
0,0,-28.9,-71.6,-72.3,-72.6
0,0,-80.4,-75.75,-24.5,-70.3
0,0,-76.6,-74.15,-23.75,-70.15
0,0,-80.15,-76.3,-24.75,-70.65
0,0,-78.25,-75.15,-24.25,-70
0,0,-66.8,-77.5,-73.7,-25.9
0,0,-65.85,-78.1,-71.1,-24.95
0,0,-67.65,-78.65,-71.75,-26.15
0,0,-64.75,-79.2,-69.35,-24.7
0,0,-67.25,-77.45,-71.3,-26
0,0,-66.15,-78.55,-70.25,-24.4
0,0,-63.85,-79.2,-71.35,-24.7
0,0,-65.35,-77.55,-70.35,-25.6
0,0,-64.9,-78.25,-72.85,-26.55
0,0,-65.75,-77.85,-71.05,-25.25
0,0,-67.4,-76.9,-73.9,-26.9
0,0,-65.15,-78.25,-71.4,-24.9
0,0,-65.55,-80.05,-71.05,-25.6
0,0,-65.9,-78.45,-71.3,-25.35
0,0,-66,-77.75,-70.65,-25.85
0,0,-65.65,-77.65,-73.15,-26.35
0,0,-29.6,-70.45,-67.65,-67.45
0,0,-28.7,-70.45,-68.3,-67.55
0,0,-29.55,-70.6,-69.85,-69.45
0,0,-29.5,-71.35,-71.2,-69.05
0,0,-29,-70.65,-69.3,-69.15
0,0,-62.6,-70.2,-67.9,-71.15
0,0,-63.05,-72.05,-65.05,-67.25
0,0,-62.85,-70.85,-65.85,-68.6
0,0,-67.65,-70,-68.2,-63.85
0,0,-59.2,-80.8,-73.2,-75
0,0,-67.4,-78.4,-77.8,-72.8
0,0,-66.8,-79.4,-74,-70.4
0,0,-69.2,-76.4,-75.2,-67.2
